capability,provider_or_capability,role,high_count,low_count,medium_count,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Advanced Analytics,Advanced Analytics,capability_summary,2,2,2,F1,Build-Buy-Partner Analysis,59,2020-08-03,2020-08-03,2026-05-27
Advanced Analytics,BlockClaim (Sprout.ai),provider_row,,1,,F1,Build-Buy-Partner Analysis,60,2020-08-03,2020-08-03,2026-05-27
Advanced Analytics,Cape Analytic,provider_row,,1,,F1,Build-Buy-Partner Analysis,61,2020-08-03,2020-08-03,2026-05-27
Advanced Analytics,Clara,provider_row,,,1,F1,Build-Buy-Partner Analysis,62,2020-08-03,2020-08-03,2026-05-27
Advanced Analytics,concirrus,provider_row,,,1,F1,Build-Buy-Partner Analysis,63,2020-08-03,2020-08-03,2026-05-27
Advanced Analytics,Gradient,provider_row,1,,,F1,Build-Buy-Partner Analysis,64,2020-08-03,2020-08-03,2026-05-27
Advanced Analytics,Shift Technology,provider_row,1,,,F1,Build-Buy-Partner Analysis,65,2020-08-03,2020-08-03,2026-05-27
Big Data,Big Data,capability_summary,1,1,2,F1,Build-Buy-Partner Analysis,66,2020-08-03,2020-08-03,2026-05-27
Big Data,otonomo,provider_row,,1,,F1,Build-Buy-Partner Analysis,67,2020-08-03,2020-08-03,2026-05-27
Big Data,Quantemplate,provider_row,1,,,F1,Build-Buy-Partner Analysis,68,2020-08-03,2020-08-03,2026-05-27
Big Data,Zesty AI,provider_row,,,2,F1,Build-Buy-Partner Analysis,69,2020-08-03,2020-08-03,2026-05-27
Big Data,Claim Processing,provider_row,2,2,,F1,Build-Buy-Partner Analysis,70,2020-08-03,2020-08-03,2026-05-27
Big Data,Crawford/ Broadspire,provider_row,,1,,F1,Build-Buy-Partner Analysis,71,2020-08-03,2020-08-03,2026-05-27
Big Data,ESIS,provider_row,,1,,F1,Build-Buy-Partner Analysis,72,2020-08-03,2020-08-03,2026-05-27
Big Data,"Gallagher Bassett

(Everest Group (Skand) published a 2020 State of the TPA industry report.  Must be purchased to review. ($5000) )",provider_row,1,,,F1,Build-Buy-Partner Analysis,73,2020-08-03,2020-08-03,2026-05-27
Big Data,Sedgewick,provider_row,1,,,F1,Build-Buy-Partner Analysis,74,2020-08-03,2020-08-03,2026-05-27
Big Data,Contact Center,provider_row,,1,1,F1,Build-Buy-Partner Analysis,75,2020-08-03,2020-08-03,2026-05-27
