client_canonical,name_raw,cid,type,nwp_2019,pct_change,rank_2019,geography,combined_ratio,relationship_type,growth_leader,ce,ceo,cfo,cro,cco,coo,cio_cto,cuo,outsource,exl_competitors_freetext,year_flag,exl_client,exl_share_of_wallet,competition_account,renewal_timeframe,future_tcv,client_priority_rating,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
State Farm,State Farm Group,1,Carrier,65100455000,-0.006,1,US,98.7,Named,Mohit,Mohit,Bruce Hull,Connie Storey,Cathy Wallace,Terrence Ludwig,Cleo Villaflores,Ashley Pettit,,Yes,Wipro,,,,,,,,F1,Top Insurers and Brokers,7,2020-08-03,2020-08-03,2026-05-27
Berkshire Hathaway,Berkshire Hathaway Ins,2,Carrier,53754763000,0.079,2,US,,,,,,,,,,,,,,,,,,,,,F1,Top Insurers and Brokers,8,2020-08-03,2020-08-03,2026-05-27
Progressive,Progressive Ins Group,3,Carrier,37578689000,0.152,3,US,,,,,,,,,,,,,,,Yes,,,,,,F1,Top Insurers and Brokers,9,2020-08-03,2020-08-03,2026-05-27
Allstate,Allstate Ins Group,4,Carrier,34038467000,0.054,4,US,85,Strategic,Roopak,Amit Gaba,Tom Wilson,Mario Rizzo,Mark Prindiville,Eric Brandt,Glenn Shapiro,Suren Gupta,,Yes,"Genpact, Fractal",Perpetual MSA,Yes,Medium,Yes,,,,F1,Top Insurers and Brokers,10,2020-08-03,2020-08-03,2026-05-27
Liberty Mutual,Liberty Mutual Ins Cos,5,Carrier,32268379000,0.014,5,US,101.7,Named,Nikhil,Kuldeep,David H. Long,Christopher Pierce,,,,James McGlennon,,Yes,CTS,,Yes,Medium,Yes,,,,F1,Top Insurers and Brokers,11,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Group,6,Carrier,27214083000,0.055,6,US,96.5,Named,Sean,Sean,Alan Schnitzer,Dan Frey,Bruce Jones,Nicolas Seminara,Mojgan Lefebvre,Mojgan Lefebvre,Rick Schug,Yes,"CTS, WNS, Genpact",2021,,,,,,,F1,Top Insurers and Brokers,12,2020-08-03,2020-08-03,2026-05-27
USAA,USAA Group   ,7,Carrier,22981339000,0.069,7,US,82.8,Named,Sean,Sean,Wayne Peacock,Laura Bishop,Torben Ostergaard,Sean Burgess,,Michael Brady,,Yes,TCS,,Yes,,,,,,F1,Top Insurers and Brokers,13,2020-08-03,2020-08-03,2026-05-27
Chubb,Chubb INA Group  ,8,Carrier,18249079000,-0.067,8,US,,,,,,,,,,,,,,,Yes,,,,,,F1,Top Insurers and Brokers,14,2020-08-03,2020-08-03,2026-05-27
Nationwide,Nationwide Group   ,9,Carrier,17992806000,-0.008,9,US,94,Named,Mohit,Mohit,Kirt Walker,Mark Thresher,Klaus Diem,Sandra Rich,Mark Berven,James Fowler,,Yes,"CTS, Genpact","Mid 2021, 2022",,,,,,,F1,Top Insurers and Brokers,15,2020-08-03,2020-08-03,2026-05-27
Amer Intl Group,Amer Intl Group   ,10,Carrier,14825888000,0.015,10,US,,,,,,,,,,,,Yes,CTS,,,,,,,,F1,Top Insurers and Brokers,16,2020-08-03,2020-08-03,2026-05-27
Farmers Ins Group,Farmers Ins Group   ,11,Carrier,14483557000,0.033,11,US,,Named,Sean,Sean,Jeff Dailey,Scott Lindquist,,Rob Howard,,Paul Wilson,,Yes,,,Yes,,,,,,F1,Top Insurers and Brokers,17,2020-08-03,2020-08-03,2026-05-27
