client_canonical,client_raw,competitor_canonical,competitor_raw,client_type,strategic_named,exl_contact,contract_renewal_window,claims_y,uw_y,premium_audit_y,fna_y,platform_y,ftes,comments,current_status,owner,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Hanover Insurance Group,Hanover Insurance Group Inc.,Corvel,Corvel,Public,Strategic,,,Y,,,,,NA,Medical Bill Review (WC Claims) - now being rolled off,,,F1,Competitor Analysis,5,2020-08-03,2020-08-03,2026-05-27
Liberty Mutual,Liberty Mutual,Cognizant,CTS,Mutual,Named,,,Y,,,,,100,Clinical Operations - Bill review and Utilization review ,,,F1,Competitor Analysis,6,2020-08-03,2020-08-03,2026-05-27
Liberty Mutual,Liberty Mutual,Cognizant,CTS,,,,,,Y,,,,200,"Policy Admin - Endorsement, Policy Servicing , underwriting",,,F1,Competitor Analysis,7,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Companies Inc.,Cognizant,CTS,Public,Named Backup,,< 6 Months,Y,Y,,,,450,"Personal Insurance, Commercial Insurnace - From new business to claims settlement",,,F1,Competitor Analysis,8,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Companies Inc.,Cognizant,CTS,,,,< 6 Months,Y,,,,,100,Bill Review and Utilization Review,,,F1,Competitor Analysis,9,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Companies Inc.,Cognizant,CTS,,,,< 6 Months,,Y,,,,200,"Policy Admin- Endorsement, Policy Servicing , underwriting ",,,F1,Competitor Analysis,10,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Companies Inc.,Cognizant,CTS,,,,< 6 Months,Y,,,,,100,Group Benefit Claims,,,F1,Competitor Analysis,11,2020-08-03,2020-08-03,2026-05-27
Travelers Group,Travelers Companies Inc.,Cognizant,CTS,,,,< 6 Months,,,,Y,,150,"Contact Center - Direct billing, Agency calls, provider call, 3rd party calls, financial calls ",,,F1,Competitor Analysis,12,2020-08-03,2020-08-03,2026-05-27
One Call Care Management,One Call Care Management (OCCM),Cognizant,CTS,,,,,,,,Y,,180,"Client is a mediator between various healthcare providers, patient and Insurance company. They manage end to end work right from Intake to invoice processing. Intake, AP, AR, Customer Service",,,F1,Competitor Analysis,13,2020-08-03,2020-08-03,2026-05-27
One Call Care Management,One Call Care Management (OCCM),Cognizant,CTS,,,,,Y,,,,,1000,"Provider credentialling, Claim packaging, Transprt and language, Medical equipment ",,,F1,Competitor Analysis,14,2020-08-03,2020-08-03,2026-05-27
Nationwide,Nationwide Mutual Group,Cognizant,CTS,Mutual,Named,,,,Y,,,,200,"Policy Admin - Endorsement, Policy Servicing , underwriting",,,F1,Competitor Analysis,15,2020-08-03,2020-08-03,2026-05-27
AIG,American International Group,Cognizant,CTS,Public,Strategic,,,,Y,,Y,,760,"Policy Admin, Policy Maintenance, AP, AR (minus collection)",,,F1,Competitor Analysis,16,2020-08-03,2020-08-03,2026-05-27
AIG,American International Group,Cognizant,CTS,,,,,,,,Y,,100,Collections,,,F1,Competitor Analysis,17,2020-08-03,2020-08-03,2026-05-27
Hartford,Hartford Financial Services,Cognizant,CTS,Public,Strategic,,,Y,Y,,,,350,They manage end to end work right from new business to claims settlement,,,F1,Competitor Analysis,18,2020-08-03,2020-08-03,2026-05-27
Hartford,Hartford Financial Services,Cognizant,CTS,,,,,Y,,,,,117,Group Benefit claim,,,F1,Competitor Analysis,19,2020-08-03,2020-08-03,2026-05-27
Hartford,Hartford Financial Services,Cognizant,CTS,,,,,,,,,,50,Consumer EDM ,,,F1,Competitor Analysis,20,2020-08-03,2020-08-03,2026-05-27
Hartford,Hartford Financial Services,Cognizant,CTS,,,,,,,,Y,,163,FinOps,,,F1,Competitor Analysis,21,2020-08-03,2020-08-03,2026-05-27
Zurich,Zurich Insurance Group,Cognizant,CTS,Public,Strategic,,,Y,,,,,100,Medical Bill Review - Medwise,,,F1,Competitor Analysis,22,2020-08-03,2020-08-03,2026-05-27
Hanover Insurance Group,Hanover Insurance Group Inc.,Cognizant,CTS,Public,Strategic,,,Y,,,,Y,NA,System Integrator for Guidewire and RPA service provider,,,F1,Competitor Analysis,23,2020-08-03,2020-08-03,2026-05-27
Utica National Insurance Group,Utica National Insurance Group,Cognizant,CTS,Private/Mutual,,,,,,,,,,,,,F1,Competitor Analysis,24,2020-08-03,2020-08-03,2026-05-27
TRYG,TRYG (Nordics),Cognizant,CTS,,,,,,,,,,,,,,F1,Competitor Analysis,25,2020-08-03,2020-08-03,2026-05-27
Optum,Optum,Cognizant,CTS,,,,,,,,,,,,,,F1,Competitor Analysis,26,2020-08-03,2020-08-03,2026-05-27
Zurich,Zurich NA,Cognizant,CTS,,,,,Y,,,,,,,,,F1,Competitor Analysis,27,2020-08-03,2020-08-03,2026-05-27
Nationwide,Nationwide,Cognizant,CTS,,,,,,,,,,,,,,F1,Competitor Analysis,28,2020-08-03,2020-08-03,2026-05-27
Mitchell Insurance,Mitchell Insurance,Cognizant,CTS,,,,,,,,,,,,,,F1,Competitor Analysis,29,2020-08-03,2020-08-03,2026-05-27
CCC Information Services,CCC Information Services,Cognizant,CTS,,,,,,,,,,,,,,F1,Competitor Analysis,30,2020-08-03,2020-08-03,2026-05-27
Utica National Insurance Group,Utica National Insurance Group,Cognizant,CTS,,,,,,,,,,,,,,F1,Competitor Analysis,31,2020-08-03,2020-08-03,2026-05-27
Hartford,Hartford,Cognizant,CTS,,,,,,,,,,,,,,F1,Competitor Analysis,32,2020-08-03,2020-08-03,2026-05-27
Allstate,Allstate Corp.,Genpact,Genpact,Public,Strategic,,,,,,,,,,,,F1,Competitor Analysis,33,2020-08-03,2020-08-03,2026-05-27
