rank,client_canonical,lead_score,confidence,account_fit,signal_strength,solution_match,relationship_warmth,relationship_type,rank_2019,nwp_2019,combined_ratio,exl_client,exl_growth_leader,exl_ce,num_triggers_fired,unique_trigger_types,sum_trigger_strength,recommended_solutions
1,Travelers Group,89.3,Very High,0.85,1.0,0.788,0.8,Named,6.0,27214083000.0,96.5,,Sean,Sean,17,9,12.76,EXL XTRAKTO.AI (5); EXL Paymentor (4); EXL EXELIA.AI (4); EXL Subrosource (3); EXL MedConnection (3)
2,Allstate,64.5,High,0.95,0.624,0.2,0.7,Strategic,4.0,34038467000.0,85.0,Yes,Roopak,Amit Gaba,5,2,3.4,EXL NerveHub (1); EXL XTRAKTO.AI (1); EXL EXELIA.AI (1); EXL Paymentor (1)
3,Liberty Mutual,56.3,High,0.75,0.429,0.333,1.0,Named,5.0,32268379000.0,101.7,Yes,Nikhil,Kuldeep,3,3,1.93,EXL Paymentor (1); EXL Digital Finance Suite (1); EXL XTRAKTO.AI (1); EXL NerveHub (1)
4,State Farm,54.4,Medium,0.7,0.136,1.0,0.8,Named,1.0,65100455000.0,98.7,,Mohit,Mohit,1,1,0.6,EXL XTRAKTO.AI (1); EXL NerveHub (1)
5,Hanover Insurance Group,54.0,Medium,0.75,0.288,0.5,1.0,Strategic,25.0,4580867000.0,95.6,Yes,Saju,Aditya Chaturvedi,2,2,1.3,EXL NerveHub (1); EXL XTRAKTO.AI (1); EXL EXELIA.AI (1); EXL Paymentor (1)
6,Munich-Amer Hldg Corp Cos,53.2,Medium,0.6,0.256,1.0,0.5,Named,18.0,6639450000.0,101.0,,Mohit,Mohit,2,2,1.1,EXL XTRAKTO.AI (2); EXL NerveHub (2); EXL Paymentor (1); EXL Digital Finance Suite (1)
7,Swiss Re,51.8,Medium,0.6,0.429,0.333,1.0,Named,15.0,2023929000.0,107.0,Yes,Mohit,Mohit,3,3,1.93,EXL Paymentor (1); EXL Digital Finance Suite (1); EXL XTRAKTO.AI (1); EXL NerveHub (1)
8,Amer Family Ins Group,51.3,Medium,0.65,0.12,1.0,0.7,Named,13.0,11841650000.0,105.7,Yes,Sean,Sean,1,1,0.5,EXL Paymentor (1); EXL Digital Finance Suite (1); EXL XTRAKTO.AI (1); EXL NerveHub (1)
9,Hartford,51.0,Medium,0.75,0.288,0.5,0.7,Strategic,12.0,11871251000.0,94.0,Yes,Saju,Kuldeep,2,2,1.3,EXL NerveHub (1); EXL XTRAKTO.AI (1); EXL EXELIA.AI (1); EXL Paymentor (1)
10,Nationwide,50.5,Medium,0.7,0.445,0.333,0.5,Named,9.0,17992806000.0,94.0,,Mohit,Mohit,3,3,2.03,EXL XTRAKTO.AI (1); EXL NerveHub (1)
