solution_code,solution_component,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
BIE,Value Add Services,F1,Buyer Priorities,30,2020-08-03,2020-08-03,2026-05-27
Int-Col,"Analytics Led Risk Prioritization & Forecasting
",F1,Buyer Priorities,31,2020-08-03,2020-08-03,2026-05-27
Int-Col,Automated Communications &  Chasers,F1,Buyer Priorities,32,2020-08-03,2020-08-03,2026-05-27
Int-Col,Real Time Cash Application ,F1,Buyer Priorities,33,2020-08-03,2020-08-03,2026-05-27
Int-Col,Comprehensive Data Reports and Dashboards,F1,Buyer Priorities,34,2020-08-03,2020-08-03,2026-05-27
Int-Col,Other Receivables Areas,F1,Buyer Priorities,35,2020-08-03,2020-08-03,2026-05-27
Audit-ATC,Audit Analytics Center of Excellence (COE),F1,Buyer Priorities,36,2020-08-03,2020-08-03,2026-05-27
Audit-ATC,Dashboard/Customer Report Development,F1,Buyer Priorities,37,2020-08-03,2020-08-03,2026-05-27
Audit-ATC,Audit Bot Development and Maintenance,F1,Buyer Priorities,38,2020-08-03,2020-08-03,2026-05-27
PRA,COE Delivery Structure ,F1,Buyer Priorities,39,2020-08-03,2020-08-03,2026-05-27
PRA,Automation/Robotics,F1,Buyer Priorities,40,2020-08-03,2020-08-03,2026-05-27
PRA,Analytics & Reporting,F1,Buyer Priorities,41,2020-08-03,2020-08-03,2026-05-27
PRA,Leading Practices,F1,Buyer Priorities,42,2020-08-03,2020-08-03,2026-05-27
PRA,Dual Shore,F1,Buyer Priorities,43,2020-08-03,2020-08-03,2026-05-27
Fin-Auto,RPA,F1,Buyer Priorities,44,2020-08-03,2020-08-03,2026-05-27
TrRFF,Finance Blueprint,F1,Buyer Priorities,45,2020-08-03,2020-08-03,2026-05-27
